ci,15134873,0,"Friday, April 13, 2012 12:54:55 UTC",33.1405,-116.3960,1.3,0.00,26,"Southern California"
uw,60408911,1,"Friday, April 13, 2012 12:50:51 UTC",46.5010,-122.4108,2.1,18.70,29,"Washington"
nn,00374150,9,"Friday, April 13, 2012 12:37:55 UTC",37.3098,-117.1283,1.1,4.90,19,"Nevada"
ci,15134865,0,"Friday, April 13, 2012 12:33:56 UTC",32.9818,-116.2730,1.8,6.60,79,"Southern California"
nn,00374149,9,"Friday, April 13, 2012 12:30:15 UTC",37.2758,-117.6688,1.5,6.80,12,"Central California"
nc,71763990,0,"Friday, April 13, 2012 12:29:37 UTC",38.7872,-122.7802,0.4,3.50,11,"Northern California"
nc,71763975,0,"Friday, April 13, 2012 12:25:18 UTC",38.7738,-122.6873,0.8,2.20, 9,"Northern California"
us,c00092n5,7,"Friday, April 13, 2012 12:12:06 UTC",36.9840,141.2346,5.0,35.20,243,"near the east coast of Honshu, Japan"
ak,10452838,1,"Friday, April 13, 2012 12:11:19 UTC",61.0803,-150.3036,2.0,44.30,23,"Southern Alaska"
ci,15134849,0,"Friday, April 13, 2012 12:08:05 UTC",34.3197,-118.4870,1.6,10.30,30,"Greater Los Angeles area, California"
us,c00092ml,3,"Friday, April 13, 2012 12:03:51 UTC",2.2461,92.4896,4.3,30.80,26,"off the west coast of northern Sumatra"
ak,10452831,1,"Friday, April 13, 2012 11:52:20 UTC",60.0119,-151.6182,1.6,84.20, 6,"Kenai Peninsula, Alaska"
us,c00092lr,5,"Friday, April 13, 2012 11:43:49 UTC",1.1269,91.8907,4.7,11.20,31,"North Indian Ocean"
ak,10452826,1,"Friday, April 13, 2012 11:41:51 UTC",63.5530,-147.7473,1.3,0.10,14,"Central Alaska"
nc,71763910,0,"Friday, April 13, 2012 11:38:51 UTC",38.7943,-122.7465,0.5,1.50,10,"Northern California"
ak,10452824,1,"Friday, April 13, 2012 11:35:41 UTC",61.2589,-147.6432,1.5,17.30, 7,"Southern Alaska"
ak,10452821,1,"Friday, April 13, 2012 11:28:21 UTC",58.2706,-155.5783,2.3,3.00,11,"Alaska Peninsula"
ak,10452819,1,"Friday, April 13, 2012 11:07:04 UTC",63.7202,-149.2103,1.1,98.90, 5,"Central Alaska"
pr,12104003,0,"Friday, April 13, 2012 10:16:50 UTC",19.8078,-66.2350,3.3,12.80,17,"Puerto Rico region"
nn,00374144,9,"Friday, April 13, 2012 10:15:17 UTC",35.7940,-115.4893,2.2,21.20,16,"Nevada"
us,c00092k7,8,"Friday, April 13, 2012 10:11:53 UTC",25.2810,95.0079,4.3,73.40,27,"Myanmar"
us,c00092jw,C,"Friday, April 13, 2012 10:10:04 UTC",16.2741,-98.1122,5.4,10.10,339,"Oaxaca, Mexico"
us,c00092jv,D,"Friday, April 13, 2012 10:10:01 UTC",36.9949,141.3362,5.7,8.70,429,"near the east coast of Honshu, Japan"
ci,15134769,0,"Friday, April 13, 2012 09:29:37 UTC",33.3607,-116.4270,2.1,7.00,111,"Southern California"
